theta1,theta2,theta3,theta4,theta5,theta6,thetad1,thetad2,thetad3,thetad4,thetad5,thetad6,tau1,tau2,tau3,tau4,tau5,dm1,dm2,dm3,dm4,dm5,da1,da2,da3,da4,da5,db1,db2,db3,db4,db5,ANGLE-ACC-ARM
0.343275,0.283023,0.850376,0.380244,0.967236,0.040079,0.589122,0.279366,0.071664,0.885969,0.507883,0.281497,0.950435,0.484011,0.65099,0.068259,0.2494,0.826981,0.288269,0.943378,0.967604,0.517752,0.088121,0.456806,0.749861,0.822305,0.484365,0.323773,0.866465,0.166291,0.119374,0.029941,0.313335
0.982826,0.291694,0.558463,0.120835,0.813243,0.608605,0.113358,0.856512,0.495277,0.528857,0.159405,0.328733,0.776764,0.057608,0.600071,0.482075,0.104832,0.379059,0.020805,0.625658,0.736349,0.957492,0.208881,0.925684,0.995136,0.93263,0.569626,0.791018,0.588899,0.953666,0.001483,0.730914,0.477899
0.026987,0.879108,0.564556,0.506741,0.151291,0.285411,0.854163,0.836945,0.852769,0.348909,0.573048,0.162928,0.314709,0.527942,0.530737,0.446649,0.709791,0.61491,0.464638,0.882896,0.578483,0.779808,0.520296,0.901399,0.007631,0.898931,0.219874,0.670014,0.95052,0.633158,0.261971,0.548996,0.501791
0.242202,0.009974,0.485936,0.398537,0.286535,0.701912,0.562733,0.860278,0.745353,0.76293,0.155916,0.708774,0.588199,0.347019,0.675674,0.842298,0.22378,0.286835,0.201927,0.429539,0.994802,0.619892,0.378373,0.963466,0.7438,0.971529,0.280027,0.293001,0.69691,0.957742,0.498275,0.898227,0.319104
0.214764,0.987049,0.421665,0.40369,0.869915,0.830657,0.309385,0.773489,0.08577,0.868817,0.309682,0.217824,0.877572,0.070953,0.760989,0.399472,0.819482,0.960551,0.912273,0.024757,0.68463,0.746351,0.323631,0.439028,0.08902,0.729624,0.947918,0.399416,0.160513,0.347207,0.188289,0.224632,0.502012
0.681124,0.963689,0.881358,0.00151,0.100994,0.189072,0.490039,0.359038,0.199165,0.877158,0.470061,0.818989,0.823712,0.989964,0.8359,0.129476,0.102084,0.202511,0.154746,0.796485,0.461326,0.791889,0.515658,0.997649,0.022926,0.943331,0.385668,0.130054,0.144238,0.864779,0.366163,0.615201,0.393543
0.304198,0.682046,0.102327,0.291756,0.33381,0.021207,0.568773,0.34566,0.500921,0.338938,0.048652,0.522437,0.076949,0.130207,0.004316,0.94843,0.948244,0.785029,0.288691,0.041192,0.876112,0.87466,0.359169,0.383566,0.309895,0.76086,0.867851,0.216632,0.221001,0.788037,0.812646,0.276659,0.270375
0.089857,0.240405,0.691751,0.874667,0.428289,0.490082,0.079157,0.162148,0.336012,0.897333,0.451951,0.545414,0.222338,0.295649,0.841582,0.604445,0.731938,0.801579,0.407908,0.847561,0.791721,0.557196,0.880272,0.595191,0.648164,0.709895,0.387984,0.060494,0.091504,0.728367,0.123274,0.570139,0.436033
0.430478,0.496271,0.30754,0.660753,0.602924,0.762682,0.425153,0.045901,0.914318,0.350259,0.266327,0.791169,0.284968,0.743854,0.076067,0.598125,0.514164,0.142205,0.719594,0.077327,0.119867,0.089189,0.792865,0.365729,0.631951,0.227966,0.329732,0.369233,0.888516,0.719295,0.68096,0.139295,0.435336
0.894358,0.806207,0.526119,0.617513,0.148645,0.822787,0.10736,0.081763,0.234428,0.29933,0.526197,0.982965,0.5244,0.241593,0.899348,0.250084,0.115711,0.205277,0.634979,0.566459,0.909325,0.060211,0.862122,0.709216,0.294178,0.61031,0.810446,0.769778,0.63233,0.756833,0.460195,0.922657,0.590544
0.21858,0.099625,0.986933,0.06397,0.464404,0.303814,0.002371,0.906523,0.455935,0.585564,0.958452,0.517409,0.58404,0.456499,0.54916,0.019121,0.41741,0.203786,0.575976,0.326395,0.674367,0.255602,0.091067,0.954183,0.784111,0.433619,0.42383,0.300501,0.753009,0.654662,0.602272,0.691799,0.912918
0.08333,0.572038,0.49548,0.777202,0.980542,0.612267,0.630283,0.91584,0.937772,0.378461,0.133369,0.887238,0.775044,0.147463,0.850694,0.713369,0.367347,0.908022,0.172452,0.259634,0.773204,0.357615,0.255333,0.193248,0.926365,0.15422,0.991243,0.291151,0.619134,0.028476,0.301939,0.254261,0.610401
0.689576,0.969482,0.224331,0.438411,0.179205,0.311374,0.015041,0.80959,0.420417,0.891757,0.761341,0.769062,0.769182,0.64124,0.532458,0.370396,0.151066,0.336399,0.125387,0.574048,0.445248,0.579972,0.598311,0.363007,0.914662,0.473128,0.398448,0.849375,0.373279,0.675106,0.14277,0.233343,0.508693
0.166563,0.080701,0.991447,0.916768,0.737225,0.326455,0.343886,0.489417,0.964757,0.724892,0.017342,0.4668,0.074364,0.692991,0.760402,0.535808,0.166548,0.505667,0.647094,0.082246,0.794594,0.852023,0.974956,0.027029,0.41597,0.459315,0.260951,0.80214,0.514813,0.006956,0.678251,0.602387,0.458955
0.78766,0.033086,0.851994,0.5698,0.55538,0.91187,0.591336,0.480257,0.115476,0.928546,0.916782,0.414876,0.454444,0.682515,0.797396,0.143675,0.734637,0.14474,0.314143,0.622468,0.128517,0.462208,0.77008,0.635938,0.215023,0.331537,0.884735,0.87177,0.755654,0.105752,0.831466,0.572016,0.817585
0.217317,0.875127,0.66077,0.277792,0.743013,0.58766,0.264576,0.824059,0.433391,0.849383,0.77556,0.660397,0.586807,0.95801,0.128783,0.37951,0.334486,0.685491,0.572257,0.853386,0.670435,0.176986,0.075044,0.815251,0.697466,0.288894,0.248537,0.218587,0.070108,0.190754,0.183934,0.038885,0.533434
0.9105,0.037459,0.344988,0.934925,0.775221,0.74986,0.031935,0.67685,0.996959,0.714681,0.454338,0.646118,0.620525,0.556439,0.176825,0.646128,0.278074,0.676811,0.692269,0.016605,0.709089,0.81738,0.851543,0.018611,0.9861,0.061247,0.530746,0.576601,0.00411,0.155686,0.912015,0.283436,0.516972
0.925942,0.504492,0.454607,0.955212,0.613573,0.68654,0.324803,0.839528,0.251477,0.717189,0.58461,0.423444,0.453276,0.043725,0.418569,0.688521,0.76326,0.15936,0.005082,0.495813,0.727953,0.842277,0.208385,0.596462,0.008652,0.058092,0.505105,0.782877,0.77823,0.473482,0.088395,0.399482,0.354941
0.913892,0.027959,0.708412,0.83955,0.448827,0.586901,0.515718,0.844859,0.787451,0.002405,0.461497,0.933626,0.365342,0.378673,0.341913,0.627508,0.33882,0.517279,0.783458,0.957085,0.324247,0.982923,0.534275,0.708514,0.48826,0.356092,0.538317,0.760124,0.377225,0.984525,0.550487,0.395272,0.396853
0.399384,0.052294,0.626564,0.478407,0.138885,0.840363,0.366769,0.01013,0.119496,0.455295,0.131773,0.074201,0.206607,0.937438,0.588966,0.878878,0.012044,0.087749,0.587666,0.717818,0.474944,0.67725,0.191752,0.198707,0.636267,0.768768,0.782204,0.266589,0.802568,0.444213,0.266728,0.490647,0.480228
0.542348,0.188657,0.105286,0.015145,0.177772,0.227365,0.752816,0.885731,0.249128,0.263407,0.941701,0.077197,0.5589,0.000602,0.104073,0.179863,0.940648,0.141263,0.888574,0.88649,0.985819,0.647607,0.085065,0.13208,0.299744,0.14619,0.032157,0.860962,0.104553,0.995509,0.119435,0.054346,0.532754
0.987237,0.412339,0.886433,0.286625,0.136002,0.39185,0.895466,0.869046,0.011992,0.410945,0.936664,0.458376,0.494268,0.901095,0.163378,0.686397,0.057731,0.856995,0.67127,0.23987,0.635729,0.899301,0.401535,0.021527,0.98389,0.932387,0.477677,0.968484,0.168984,0.694592,0.577404,0.76684,0.501853
0.967994,0.075431,0.434542,0.772456,0.240675,0.150681,0.556209,0.226403,0.522938,0.221148,0.874339,0.300416,0.886815,0.389655,0.802492,0.778499,0.982645,0.882992,0.545878,0.696578,0.54123,0.702339,0.773918,0.107296,0.919349,0.251573,0.046227,0.255768,0.946393,0.281426,0.827607,0.708451,0.44765
0.95045,0.292835,0.735934,0.318544,0.381627,0.463094,0.706887,0.125739,0.835298,0.834295,0.259036,0.282613,0.694353,0.197989,0.50748,0.667976,0.463849,0.604229,0.968283,0.968663,0.877169,0.636233,0.976661,0.682591,0.979679,0.162656,0.763858,0.044296,0.862595,0.129805,0.017536,0.518129,0.363305
0.411198,0.547704,0.599191,0.523142,0.695983,0.368628,0.79813,0.302583,0.000658,0.995014,0.738044,0.343804,0.054942,0.319085,0.489826,0.021894,0.012383,0.790123,0.8887,1,0.502415,0.353591,0.636204,0.859303,0.790122,0.450737,0.091239,0.496753,0.051707,0.964525,0.471896,0.584554,0.789472
0.426932,0.925182,0.805555,0.212576,0.093234,0.789478,0.558364,0.433568,0.950877,0.544831,0.558451,0.912166,0.705067,0.238928,0.137879,0.230659,0.641391,0.174964,0.236012,0.043699,0.012136,0.516042,0.362308,0.106761,0.930444,0.708882,0.353981,0.774616,0.930765,0.678678,0.157022,0.747706,0.456377
0.443357,0.90629,0.329539,0.332686,0.981146,0.759751,0.185545,0.841571,0.56321,0.797284,0.388792,0.384107,0.364335,0.450681,0.814697,0.851477,0.494647,0.153839,0.230108,0.851475,0.563769,0.501111,0.469656,0.273332,0.365705,0.691713,0.826529,0.970073,0.87384,0.095215,0.766331,0.897286,0.72389
0.239321,0.589382,0.948383,0.276786,0.838247,0.727633,0.636428,0.170308,0.388674,0.604991,0.392348,0.128076,0.615429,0.931312,0.69508,0.9236,0.637195,0.652762,0.563251,0.559448,0.094946,0.256449,0.321282,0.985967,0.759847,0.652454,0.068409,0.929165,0.356166,0.096654,0.951198,0.813232,0.465744
0.373241,0.781476,0.929998,0.335297,0.838608,0.795419,0.357363,0.954723,0.001189,0.913171,0.573731,0.630891,0.714974,0.717437,0.358453,0.550261,0.072721,0.761756,0.182089,0.151199,0.536053,0.68942,0.694471,0.606181,0.279198,0.858526,0.205262,0.16444,0.048727,0.902352,0.724735,0.825186,0.503032
0.735327,0.704822,0.8318,0.237917,0.826803,0.443806,0.707042,0.713689,0.72723,0.310172,0.707149,0.253876,0.761589,0.041859,0.081207,0.966384,0.694442,0.677596,0.889766,0.90042,0.073752,0.068427,0.924852,0.420699,0.146258,0.661738,0.077332,0.839712,0.970001,0.998656,0.000985,0.369184,0.388063
0.063153,0.539812,0.981147,0.836282,0.553952,0.913397,0.247672,0.789097,0.238354,0.249485,0.006937,0.638474,0.162317,0.676213,0.954342,0.329845,0.628552,0.415104,0.742921,0.949813,0.113981,0.165636,0.351874,0.837756,0.784776,0.621438,0.823666,0.864203,0.575212,0.953367,0.978106,0.017188,0.665103
0.457035,0.726536,0.720836,0.612336,0.187088,0.762784,0.132568,0.645552,0.327212,0.04946,0.094458,0.116794,0.008844,0.65908,0.172951,0.547232,0.162365,0.212108,0.429029,0.674757,0.844809,0.780518,0.453796,0.879222,0.424464,0.198923,0.244748,0.571895,0.922694,0.049222,0.911474,0.190742,0.50557
0.844298,0.690145,0.203392,0.583024,0.734423,0.251777,0.859003,0.171255,0.293569,0.85503,0.662729,0.933842,0.98177,0.044229,0.893268,0.093954,0.09618,0.988565,0.689231,0.976811,0.814508,0.529253,0.33911,0.431443,0.645747,0.091179,0.556028,0.328444,0.373125,0.085256,0.420225,0.187798,0.606542
0.210099,0.589435,0.849524,0.06378,0.257303,0.53833,0.587202,0.006746,0.293923,0.804004,0.297671,0.40691,0.578634,0.609855,0.368817,0.694689,0.423673,0.451798,0.387855,0.959453,0.106637,0.73915,0.326328,0.74306,0.886419,0.832219,0.108864,0.616321,0.561584,0.94181,0.781135,0.702951,0.46499
0.951591,0.461583,0.400405,0.14265,0.299917,0.553835,0.055941,0.057867,0.88538,0.197526,0.965264,0.978959,0.204731,0.410158,0.179969,0.470681,0.602993,0.890918,0.735363,0.984445,0.0937,0.324135,0.66869,0.547099,0.703502,0.726951,0.018229,0.869082,0.573115,0.722687,0.678631,0.99194,0.603017
0.581111,0.498956,0.414636,0.282583,0.231553,0.873174,0.546056,0.623761,0.336464,0.495486,0.439717,0.994926,0.537567,0.499288,0.243326,0.058263,0.257708,0.434324,0.744851,0.37344,0.25419,0.587337,0.351766,0.037195,0.199638,0.77403,0.202792,0.678713,0.145178,0.656599,0.158161,0.900025,0.662388
0.288844,0.699138,0.319695,0.908521,0.192039,0.941273,0.535832,0.830598,0.252458,0.200165,0.320132,0.79255,0.496126,0.122488,0.360881,0.354723,0.743454,0.319713,0.713531,0.22118,0.549159,0.95775,0.53055,0.145847,0.585869,0.775961,0.655139,0.484922,0.214568,0.684328,0.097898,0.10677,0.452229
0.803223,0.530621,0.519899,0.101499,0.960066,0.578793,0.312258,0.038884,0.06903,0.628392,0.575903,0.121686,0.229004,0.312182,0.531093,0.433054,0.226955,0.63707,0.868022,0.608291,0.898034,0.300737,0.499946,0.080484,0.473149,0.404963,0.84193,0.725188,0.226878,0.54471,0.999291,0.054783,0.465772
0.743963,0.811893,0.075609,0.328443,0.688929,0.846208,0.561371,0.969639,0.523279,0.960126,0.535838,0.970235,0.599804,0.359675,0.25325,0.807874,0.682626,0.124033,0.328047,0.196858,0.829055,0.013811,0.188495,0.492888,0.942516,0.59127,0.833934,0.382676,0.819138,0.882144,0.160184,0.899698,0.241865
0.564147,0.469203,0.451437,0.690505,0.444972,0.807673,0.219387,0.50089,0.667811,0.079564,0.919899,0.775484,0.693127,0.590616,0.225917,0.538496,0.342816,0.658639,0.31552,0.742634,0.512306,0.590719,0.177213,0.97897,0.210926,0.478871,0.905108,0.159603,0.753804,0.01542,0.91577,0.384605,0.446301
0.956192,0.771074,0.142355,0.919184,0.325874,0.684298,0.663684,0.164119,0.436674,0.003668,0.689166,0.112481,0.526048,0.928888,0.977137,0.350886,0.251126,0.829581,0.97313,0.388452,0.528565,0.83893,0.969193,0.23143,0.389833,0.195364,0.422246,0.681451,0.164796,0.321538,0.856286,0.698384,0.595763
0.607558,0.866169,0.125794,0.631771,0.693408,0.099263,0.800326,0.204778,0.324888,0.00593,0.689413,0.267498,0.674721,0.282823,0.414744,0.411695,0.245229,0.722226,0.893551,0.491731,0.11762,0.324755,0.081787,0.071685,0.654183,0.870545,0.195404,0.547154,0.116451,0.923808,0.266471,0.16683,0.568846
0.446291,0.188691,0.676938,0.957112,0.523338,0.529347,0.678614,0.036607,0.823605,0.395987,0.599514,0.830065,0.948677,0.940013,0.84154,0.911968,0.136829,0.086975,0.585663,0.069528,0.063931,0.002389,0.250902,0.769977,0.086005,0.062519,0.908159,0.415717,0.116597,0.389372,0.720497,0.601511,0.093712
0.365699,0.054372,0.550673,0.231835,0.638207,0.594833,0.773,0.038607,0.4155,0.286402,0.317161,0.873555,0.838227,0.895971,0.096521,0.28943,0.39462,0.220698,0.780177,0.842244,0.43874,0.205215,0.409773,0.400154,0.982166,0.948017,0.144501,0.328112,0.804278,0.188282,0.652781,0.558871,0.562652
0.397207,0.469355,0.991995,0.119385,0.443767,0.557673,0.530254,0.090409,0.444229,0.924617,0.891817,0.958908,0.234412,0.183565,0.239199,0.714721,0.096443,0.400763,0.748078,0.589255,0.999389,0.714729,0.959938,0.774865,0.207151,0.025892,0.369904,0.294669,0.741272,0.418497,0.138963,0.253839,0.352589
0.694964,0.510746,0.537123,0.532013,0.727648,0.420309,0.977922,0.401319,0.329108,0.903968,0.940087,0.962047,0.001087,0.312732,0.774467,0.874675,0.381543,0.458056,0.548094,0.917425,0.847923,0.116825,0.161274,0.25592,0.834785,0.072331,0.802011,0.047159,0.984159,0.898716,0.637038,0.982948,0.378917
0.803525,0.599365,0.705349,0.377318,0.800662,0.21439,0.79147,0.390728,0.44534,0.587028,0.560568,0.475198,0.203537,0.356689,0.089229,0.754075,0.497803,0.193313,0.582801,0.98772,0.139453,0.257113,0.473546,0.625498,0.808106,0.699293,0.210645,0.602753,0.535028,0.696205,0.685386,0.520378,0.454065
0.617869,0.13063,0.998722,0.171349,0.451186,0.214639,0.979237,0.498944,0.985764,0.640982,0.121052,0.937698,0.78983,0.610686,0.330824,0.294132,0.405912,0.986363,0.68928,0.798025,0.337678,0.706959,0.414796,0.763333,0.471077,0.576891,0.188363,0.258899,0.568117,0.725373,0.818999,0.043382,0.680771
0.1254,0.452381,0.769622,0.40594,0.671427,0.76734,0.661403,0.835625,0.694678,0.431602,0.029067,0.4508,0.179359,0.060356,0.76632,0.981399,0.046204,0.153171,0.999579,0.730861,0.659607,0.185782,0.885904,0.184038,0.200293,0.786421,0.446124,0.860316,0.242023,0.043038,0.001725,0.814897,0.159232
0.842876,0.788391,0.140702,0.150842,0.938335,0.444979,0.409062,0.678461,0.053827,0.234956,0.885134,0.671655,0.784361,0.722803,0.494764,0.99324,0.057229,0.413773,0.389921,0.662287,0.286898,0.275774,0.041528,0.819432,0.938683,0.176739,0.434591,0.092238,0.592709,0.969605,0.838859,0.82038,0.697528
0.512401,0.006944,0.570826,0.874173,0.125287,0.365958,0.949083,0.824146,0.901754,0.285984,0.289002,0.755953,0.458388,0.949686,0.322473,0.969491,0.905924,0.595215,0.493943,0.209372,0.121625,0.628442,0.050072,0.333724,0.952739,0.407052,0.957554,0.28761,0.099034,0.257423,0.490336,0.482156,0.541169
0.726717,0.040066,0.155809,0.004988,0.539215,0.307931,0.177449,0.796037,0.795839,0.92779,0.198259,0.143004,0.491985,0.533638,0.201497,0.204178,0.598772,0.963508,0.61419,0.323723,0.776501,0.770348,0.548462,0.020044,0.064215,0.854203,0.551121,0.888079,0.851918,0.726738,0.743753,0.455065,0.762436
0.581784,0.808745,0.173018,0.177144,0.823008,0.685288,0.305942,0.904998,0.840595,0.825018,0.384458,0.560531,0.267888,0.73276,0.743495,0.451304,0.942881,0.657444,0.247262,0.045406,0.701641,0.636803,0.54983,0.993618,0.299882,0.470306,0.967917,0.395004,0.013112,0.423152,0.363582,0.235542,0.505678
0.288008,0.663165,0.819778,0.211313,0.872635,0.522148,0.751935,0.074467,0.692119,0.440074,0.386716,0.496714,0.786178,0.251545,0.046346,0.189198,0.822733,0.591355,0.632381,0.924893,0.343541,0.261287,0.612795,0.655221,0.16747,0.151129,0.046617,0.810551,0.869318,0.117656,0.862047,0.523284,0.398655
0.248131,0.623463,0.667358,0.98003,0.556421,0.412639,0.13157,0.877809,0.194512,0.7141,0.690808,0.703894,0.579736,0.133044,0.663552,0.149274,0.849215,0.613162,0.08472,0.392259,0.512858,0.868994,0.145803,0.377426,0.152869,0.768219,0.553085,0.881461,0.627682,0.659737,0.886756,0.782299,0.826675
0.89836,0.062589,0.636957,0.135214,0.373452,0.100211,0.735066,0.614003,0.451511,0.268702,0.898939,0.615503,0.112761,0.928174,0.99324,0.927401,0.514103,0.115836,0.590926,0.484216,0.82429,0.928322,0.046827,0.840861,0.95527,0.938775,0.834158,0.139779,0.586597,0.261788,0.825248,0.0735,0.142577
0.566346,0.421225,0.224281,0.595894,0.952688,0.598133,0.200529,0.621448,0.493407,0.11521,0.864822,0.397275,0.666682,0.190796,0.685293,0.472201,0.152219,0.710279,0.132275,0.302473,0.666226,0.434396,0.429767,0.240433,0.651206,0.836767,0.535912,0.368094,0.74808,0.826961,0.881245,0.158524,0.426796
0.772413,0.846056,0.151602,0.316186,0.769178,0.208229,0.305725,0.25781,0.018634,0.991554,0.603659,0.469647,0.921367,0.011113,0.655462,0.215221,0.179762,0.563414,0.072123,0.756684,0.619305,0.867234,0.566553,0.911177,0.283827,0.647358,0.426092,0.300287,0.147175,0.222515,0.896271,0.696274,0.567248
0.309068,0.513126,0.538432,0.531765,0.55624,0.357651,0.408331,0.384794,0.784968,0.284998,0.724109,0.214271,0.168359,0.215449,0.769189,0.181344,0.823706,0.938071,0.137976,0.070671,0.279984,0.075944,0.220443,0.145385,0.82023,0.45795,0.318911,0.560725,0.185378,0.183271,0.453834,0.022308,0.820526
0.543584,0.953247,0.404114,0.475461,0.647565,0.828694,0.347301,0.885839,0.062826,0.408924,0.986345,0.162578,0.431685,0.230096,0.788129,0.435733,0.241204,0.089277,0.261764,0.669522,0.866707,0.803399,0.926388,0.211318,0.511815,0.216247,0.376177,0.683185,0.314143,0.945134,0.634396,0.573284,0.526594
0.416533,0.19797,0.597819,0.461962,0.844095,0.99337,0.695332,0.959577,0.519321,0.469869,1,0.592276,0.771955,0.248015,0.766204,0.025935,0.935338,0.896699,0.888119,0.238228,0.050004,0.947452,0.499581,0.939456,0.376174,0.641841,0.70741,0.675687,0.296501,0.493223,0.819361,0.127292,0.482478
0.722216,0.409727,0.004699,0.77247,0.477951,0.929884,0.197841,0.453407,0.164984,0.655243,0.749571,0.011095,0.681547,0.997021,0.366857,0.76932,0.711285,0.729071,0.914735,0.379697,0.407908,0.026519,0.718845,0.028641,0.501725,0.645747,0.339403,0.855507,0.418583,0.965877,0.191449,0.337986,0.258537
0.035144,0.935044,0.518155,0.80151,0.367104,0.440755,0.452195,0.448949,0.294861,0.558724,0.995405,0.389094,0.181488,0.836831,0.750392,0.341861,0.574472,0.609327,0.640517,0.597974,0.520862,0.388447,0.333136,0.099148,0.033861,0.717183,0.858212,0.274489,0.592561,0.490261,0.035216,0.655073,0.624177
0.367361,0.98129,0.656284,0.902842,0.776137,0.13296,0.866963,0.919849,0.274859,0.537749,0.565592,0.885145,0.603892,0.06129,0.447449,0.960621,0.827252,0.527595,0.148476,0.458043,0.993316,0.650595,0.298271,0.454091,0.152326,0.64789,0.359281,0.820135,0.952205,0.949485,0.740227,0.185123,0.351943
0.436061,0.314114,0.309892,0.189084,0.404839,0.473666,0.308031,0.007596,0.573213,0.840792,0.430032,0.279343,0.739482,0.550477,0.0358,0.976298,0.319626,0.967043,0.010561,0.533154,0.225796,0.38187,0.812435,0.097038,0.581904,0.134409,0.046566,0.944474,0.634565,0.32153,0.721141,0.435187,0.153299
0.916205,0.888054,0.894865,0.966077,0.144126,0.907524,0.586282,0.548717,0.932725,0.595313,0.775406,0.07533,0.181471,0.542248,0.824971,0.492065,0.991163,0.036852,0.271604,0.967738,0.345666,0.974972,0.925499,0.285077,0.667646,0.124671,0.393532,0.261625,0.390053,0.535038,0.460264,0.091507,0.546462
0.138872,0.811436,0.390127,0.431301,0.728913,0.66467,0.937711,0.734749,0.427848,0.734912,0.38948,0.938261,0.258643,0.36581,0.297585,0.787903,0.03616,0.356006,0.606108,0.531853,0.359504,0.535627,0.456814,0.568745,0.345336,0.370809,0.870467,0.161506,0.744611,0.537587,0.295767,0.528515,0.349665
0.091728,0.680312,0.953582,0.63992,0.602846,0.454878,0.696956,0.241987,0.274053,0.001837,0.908808,0.435528,0.531518,0.862552,0.783099,0.92052,0.868516,0.959384,0.307472,0.547019,0.222468,0.436725,0.556684,0.128457,0.430368,0.418913,0.284616,0.384815,0.767646,0.616709,0.840023,0.369635,0.15195
0.144923,0.483689,0.875221,0.882878,0.382082,0.116252,0.194423,0.014184,0.21254,0.588021,0.257754,0.742401,0.712335,0.360395,0.343454,0.514529,0.53994,0.306501,0.689325,0.566904,0.399213,0.907487,0.955964,0.013036,0.335289,0.522251,0.93161,0.413592,0.406343,0.270391,0.399868,0.064793,0.502845
0.504801,0.311806,0.520255,0.080422,0.858677,0.998073,0.704676,0.972245,0.282638,0.221705,0.23965,0.573074,0.062753,0.573939,0.110187,0.916332,0.48711,0.49276,0.741564,0.166752,0.904296,0.536935,0.42673,0.238277,0.426436,0.344338,0.010463,0.38268,0.885846,0.847168,0.428753,0.515818,0.474856
0.261491,0.100668,0.525966,0.061794,0.90412,0.550429,0.831843,0.792823,0.805314,0.103012,0.903509,0.403297,0.861299,0.609475,0.987895,0.121407,0.491942,0.698418,0.809126,0.184923,0.266749,0.648391,0.267021,0.518815,0.521061,0.600977,0.964499,0.972029,0.740176,0.012701,0.224937,0.148046,0.471082
0.583035,0.827496,0.266082,0.009735,0.293958,0.426507,0.103394,0.431406,0.647806,0.990062,0.536019,0.011858,0.498074,0.857249,0.709828,0.729158,0.732481,0.920136,0.742708,0.386418,0.353661,0.329292,0.322743,0.512732,0.324092,0.348785,0.754644,0.248494,0.703792,0.607926,0.262117,0.98877,0.375511
0.987276,0.066909,0.233061,0.138136,0.467729,0.174549,0.517564,0.868925,0.972778,0.479533,0.389073,0.106116,0.557304,0.166042,0.913165,0.431393,0.300734,0.476029,0.578317,0.658616,0.587843,0.095975,0.818524,0.383989,0.414022,0.715757,0.908508,0.279784,0.566737,0.544768,0.963505,0.642286,0.557439
